Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.01G219400,Gm01,57637432-57638915,glutathione peroxidase 6,IPR000889;IPR012336,GO:0004602;GO:0006979;GO:0055114
Glyma.01G219501,Gm01,57639440-57640799,glutathione peroxidase 8,IPR000889;IPR012336,GO:0004602;GO:0006979;GO:0055114
Glyma.01G219600,Gm01,57641801-57646494,AT hook motif DNA-binding family protein,IPR005175;IPR020478,NA
Glyma.01G219700,Gm01,57648021-57650594,"Marine sediment metagenome DNA, contig: S01H4_C00745 n=1 Tax=marine sediment metagenome RepID=X1AZJ0_9ZZZZ",IPR005227;IPR012337,GO:0003676;GO:0005737;GO:0006139;GO:0006281;GO:0006310;GO:0006974
Glyma.01G219800,Gm01,57652157-57673315,lysine-specific demethylase 5A-like [Glycine max];  ,IPR001606;IPR003347;IPR003349;IPR004198;IPR013083;IPR013637,GO:0003677;GO:0005515;GO:0005622;GO:0005634;GO:0008270;GO:0055114
Glyma.01G219900,Gm01,57674223-57679954,glutamate-cysteine ligase; ,IPR006336,GO:0004357;GO:0006750;GO:0042398
Glyma.01G220000,Gm01,57681408-57683515,RNase P Rpr2/Rpp21 subunit domain protein;,IPR007175,NA
Glyma.01G220100,Gm01,57685741-57687369,bromo-adjacent homology (BAH) domain-containing protein; domain);,IPR001025,GO:0003682
Glyma.01G220200,Gm01,57689185-57694067,"bromo-adjacent homology (BAH) domain-containing protein; domain),",IPR001025;IPR003618,GO:0003682;GO:0005634;GO:0008270
Glyma.01G220250,Gm01,57698656-57699910,uncharacterized protein LOC102667219 isoform X2 [Glycine max],NA,NA
Glyma.01G220300,Gm01,57699911-57702800,uncharacterized protein LOC100776815 isoform X1 [Glycine max],IPR000007;IPR021916,NA
Glyma.01G220400,Gm01,57703768-57710348,SIGNAL PEPTIDE PEPTIDASE-LIKE 2; ,IPR003137;IPR006639,GO:0004190;GO:0016021
Glyma.01G220600,Gm01,57713411-57715634,plasma membrane intrinsic protein 1; 4,IPR000425;IPR023271,GO:0005215;GO:0006810;GO:0016020
Glyma.01G220700,Gm01,57716653-57724788,Protein kinase superfamily protein; ,IPR011009,GO:0004672;GO:0005524;GO:0006468
Glyma.01G220800,Gm01,57726078-57730315,hydroxyproline-rich glycoprotein family protein,NA,NA
Glyma.01G220900,Gm01,57739105-57744757,uncharacterized protein LOC100808415 isoform X4 [Glycine max]; domain),IPR000157;IPR027417,GO:0005515;GO:0007165
Glyma.01G221000,Gm01,57746695-57748557,E3 ubiquitin-protein ligase At3g02290-like isoform X3 [Glycine max],IPR013083,GO:0005515;GO:0008270
Glyma.01G221100,Gm01,57759658-57761979,zinc finger protein CONSTANS-LIKE 9-like isoform X2 [Glycine max];,IPR010402,GO:0005515
Glyma.01G221200,Gm01,57764120-57766647,PLAC8 family protein;,IPR006461,NA
Glyma.01G221300,Gm01,57768620-57769550,RING-H2 finger protein 2B,IPR013083,GO:0005515;GO:0008270
Glyma.01G221400,Gm01,57782577-57784704,Phosphoglycerate mutase family protein,IPR013078,GO:0003824;GO:0008152
Glyma.01G221500,Gm01,57797376-57803145,BEL1-like homeodomain protein 1-like isoform X2 [Glycine max],IPR006563;IPR009057,GO:0003677;GO:0003700;GO:0043565
Glyma.01G221550,Gm01,57804837-57805172,RNA-binding protein 25-like [Glycine max],NA,NA
Glyma.01G221600,Gm01,57809146-57814742,transferring glycosyl group transferase;,IPR006740,NA
Glyma.01G221700,Gm01,57824096-57827107,Nuclear transport factor 2 (NTF2) family protein;,IPR009959,NA
Glyma.01G221900,Gm01,57832887-57833845,SPIRAL1-like5,NA,NA
Glyma.01G222000,Gm01,57838253-57841649,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0004707;GO:0005524;GO:0006468
Glyma.01G222100,Gm01,57843529-57845419,40S ribosomal S10-like protein;,IPR005326,NA
Glyma.01G222200,Gm01,57847859-57850128,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.01G222300,Gm01,57860163-57861397,WRKY family transcription factor,IPR003657,GO:0003700;GO:0043565
Glyma.01G222400,Gm01,57866918-57870896,protein SGT1 homolog A-like isoform 1 [Glycine max]; ,IPR007699;IPR008978;IPR011990,GO:0005515
Glyma.01G222500,Gm01,57872120-57880923,E3 SUMO-protein ligase SIZ1-like isoform X5 [Glycine max],IPR004181;IPR013083,GO:0008270
Glyma.01G222551,Gm01,57881362-57882632,uncharacterized protein LOC102667270 isoform X3 [Glycine max],NA,NA
Glyma.01G222600,Gm01,57882728-57884161,protein LURP-one-related 17-like [Glycine max];,IPR025659,NA
Glyma.01G222650,Gm01,57901426-57902699,mitosis protein DIM1,NA,NA
Glyma.01G222700,Gm01,57904316-57914480,respiratory burst oxidase protein F,IPR000778;IPR011992;IPR013130;IPR017938,GO:0004601;GO:0005509;GO:0016020;GO:0016491;GO:0055114
Glyma.01G222800,Gm01,57915622-57916510,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;,IPR004864,NA
Glyma.01G222900,Gm01,57919256-57920224,Late embryogenesis abundant hydroxyproline-rich glycofamily protein n=1 Tax=Theobroma cacao RepID=UPI00042B23A2,NA,NA
Glyma.01G223000,Gm01,57926732-57928665,probable membrane-associated kinase regulator 2-like [Glycine max],NA,NA
Glyma.01G223100,Gm01,57938129-57944793,P-loop containing nucleoside triphosphate hydrolases superfamily protein; ,IPR027417,GO:0000166;GO:0005524;GO:0017111
Glyma.01G223200,Gm01,57945808-57951146,calcium-dependent protein kinase 6,IPR011009;IPR011992,GO:0004672;GO:0004674;GO:0005509;GO:0005524;GO:0006468
Glyma.01G223300,Gm01,57957973-57961211,aluminum-activated malate transporter 9;,IPR020966,GO:0015743
Glyma.01G223400,Gm01,57961582-57965773,uncharacterized protein LOC100809074 isoform X4 [Glycine max],NA,NA
Glyma.01G223500,Gm01,57967243-57972010,Uncharacterized protein family (UPF0016);,IPR001727,GO:0016020
Glyma.01G223600,Gm01,57974136-57978511,cation/H+ exchanger 18,IPR006153,GO:0006812;GO:0015299;GO:0016021;GO:0055085
Glyma.01G223700,Gm01,57987827-57991640,uncharacterized protein At5g41620-like [Glycine max],NA,NA
Glyma.01G223800,Gm01,57992306-57993122,Lactoylglutathione lyase / glyoxalase I family protein;,IPR025870,NA
Glyma.01G223850,Gm01,57997162-58000329,BTB/POZ domain-containing protein POB1-like [Glycine max],NA,NA
Glyma.01G223900,Gm01,57999253-58008363,aldose 1-epimerase family protein,IPR008183;IPR011013,GO:0003824;GO:0005975;GO:0016853;GO:0030246
Glyma.01G224000,Gm01,58010135-58014032,receptor-like kinase 1,IPR001611;IPR011009;IPR013210;IPR013320,GO:0004672;GO:0005515;GO:0005524;GO:0006468
Glyma.01G224100,Gm01,58027077-58028399,ethylene-responsive transcription factor 1B,IPR016177,GO:0003677;GO:0003700
Glyma.01G224150,Gm01,58047134-58047674,arabinogalactan peptide 16 [Glycine max];,IPR009424,NA
Glyma.01G224200,Gm01,58049469-58059593,E3 ubiquitin-protein ligase COP1-like [Glycine max]; ,IPR011009;IPR015943;IPR020472,GO:0005515
Glyma.01G224300,Gm01,58065289-58070805,Crooked neck pre mRNA splicing factor 1 n=2 Tax=Echinococcus RepID=U6HY55_ECHMU; ,IPR011990,GO:0005515;GO:0005622;GO:0006396
Glyma.01G224400,Gm01,58071471-58074255,mitochondrial substrate carrier family protein B-like [Glycine max],IPR002067;IPR023395,GO:0055085
Glyma.01G224500,Gm01,58073914-58080521,Transmembrane amino acid transporter family protein;,IPR013057,NA
Glyma.01G224600,Gm01,58082751-58083574,uncharacterized protein LOC102670341 [Glycine max],NA,NA
Glyma.01G224700,Gm01,58087697-58091028,nucleoporin seh1-like protein;,IPR015943,GO:0005515
Glyma.01G224800,Gm01,58089975-58093679,WRKY family transcription factor,IPR003657,GO:0003700;GO:0043565
Glyma.01G224900,Gm01,58095951-58099924,myb transcription factor,IPR009057,GO:0003677;GO:0003682
Glyma.01G225000,Gm01,58113086-58114668,ethylene-responsive transcription factor 5-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.01G225100,Gm01,58124206-58129133,"probable protein phosphatase 2C 8-like isoform X1 [Glycine max]; -like domain),",IPR001932;IPR015655,GO:0003824;GO:0004722;GO:0006470
Glyma.01G225200,Gm01,58136769-58145256,long-chain acyl-CoA synthetase 2,IPR000873,GO:0003824;GO:0008152
Glyma.01G225300,Gm01,58152528-58156562,unknown protein,NA,NA
Glyma.01G225400,Gm01,58157888-58160617,unknown protein,NA,NA
Glyma.01G225500,Gm01,58162922-58163794,uncharacterized protein LOC102660531 [Glycine max],NA,NA
Glyma.01G225600,Gm01,58169721-58170737,uncharacterized protein LOC100816904 [Glycine max],NA,NA
Glyma.01G225700,Gm01,58177124-58181727,putative E3 ubiquitin-protein ligase UBR7 isoform X3 [Glycine max],IPR003126;IPR013083,GO:0004842;GO:0005515;GO:0008270
Glyma.01G225800,Gm01,58195359-58199690,UDP-D-glucose/UDP-D-galactose 4-epimerase 5; ,IPR001509;IPR005886;IPR008089;IPR025308,GO:0003824;GO:0003978;GO:0005975;GO:0006012;GO:0044237;GO:0050662
Glyma.01G225900,Gm01,58199274-58206922,dynamin-like protein,IPR000375;IPR001401;IPR020850;IPR022812;IPR027417,GO:0003924;GO:0005525
Glyma.01G226000,Gm01,58208818-58211353,GDSL esterase/lipase isoform X1 [Glycine max],IPR002921,GO:0004806;GO:0006629
Glyma.01G226100,Gm01,58212908-58214501,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;,IPR004864,NA
Glyma.01G226200,Gm01,58214732-58218109,Phosphatidylinositol 3- and 4-kinase family protein,IPR000626;IPR011009,GO:0005515
Glyma.01G226300,Gm01,58219740-58222383,GDSL-like Lipase/Acylhydrolase superfamily protein,IPR001087,GO:0006629;GO:0016787
Glyma.01G226400,Gm01,58222332-58225226,uncharacterized protein slp1-like isoform X3 [Glycine max],IPR008979;IPR012919,NA
Glyma.01G226502,Gm01,58228616-58236112,Cytochrome P450 superfamily protein; ,IPR001128,GO:0005506;GO:0020037;GO:0055114
Glyma.01G226600,Gm01,58240447-58243033,scarecrow-like protein 3-like [Glycine max];,IPR005202,NA
Glyma.01G226700,Gm01,58248155-58258048,magnesium chelatase i2,IPR011776;IPR027417,GO:0000166;GO:0005524;GO:0015979;GO:0015995;GO:0016851;GO:0017111
Glyma.01G226800,Gm01,58258269-58263500,THUMP domain-containing protein;,IPR004114,GO:0003723
Glyma.01G226900,Gm01,58266160-58271439,hexokinase-like 1,IPR001312,GO:0004396;GO:0005524;GO:0005975;GO:0006096
Glyma.01G226950,Gm01,58284437-58284851,Unknown protein,NA,NA
Glyma.01G227000,Gm01,58287463-58295305,"Adaptor-related protein complex 1, beta 1 subunit n=34 Tax=Amniota RepID=K7A6Z1_PANTR;  ,",IPR009028;IPR012295;IPR013041;IPR015151;IPR016024;IPR026739,GO:0005488;GO:0006886;GO:0008565;GO:0015031;GO:0016192;GO:0030117;GO:0030131
Glyma.01G227100,Gm01,58300661-58306552,dnaJ homolog subfamily C member 3 homolog [Glycine max],IPR001623;IPR011990,GO:0005515
Glyma.01G227200,Gm01,58310169-58315741,RNA-binding domain CCCH-type zinc finger protein,IPR000571;IPR012677,GO:0000166;GO:0003676;GO:0046872
Glyma.01G227300,Gm01,58321344-58324258,RNA-binding protein 8A-like [Glycine max],IPR008111;IPR012677,GO:0000166;GO:0003676;GO:0003723;GO:0005634;GO:0005737;GO:0006396
Glyma.01G227400,Gm01,58326136-58329005,porphobilinogen deaminase; ,IPR000860,GO:0004418;GO:0018160;GO:0033014
Glyma.01G227500,Gm01,58333507-58340265,uncharacterized protein LOC100797793 isoform X1 [Glycine max],NA,NA
Glyma.01G227600,Gm01,58341291-58342461,Unknown protein,NA,NA
Glyma.01G227700,Gm01,58342675-58345863,Exosome complex component rrp45 n=2 Tax=Triticeae RepID=M7ZVD2_TRIUA; ,IPR015847;IPR020568;IPR027408,NA
Glyma.01G227800,Gm01,58346778-58351821,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G227900,Gm01,58352766-58355349,"Oxidoreductase, short chain dehydrogenase/reductase family protein, expressed n=5 Tax=Oryza RepID=Q2QRE6_ORYSJ",IPR002347,GO:0008152;GO:0016491
Glyma.01G228000,Gm01,58356093-58361027,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G228100,Gm01,58365735-58373026,Transcription factor DP,IPR011991;IPR015648,GO:0003700;GO:0005667;GO:0007049
Glyma.01G228200,Gm01,58372533-58381775,uncharacterized protein LOC100792788 isoform X1 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.01G228300,Gm01,58384657-58387823,SMG9-like protein;,IPR027417,NA
Glyma.01G228400,Gm01,58388553-58391557,"NADH:ubiquinone oxidoreductase, 17.2kDa subunit; activity)",IPR007763,GO:0008137;GO:0009055;GO:0016020
Glyma.01G228500,Gm01,58391681-58399603,E3 ubiquitin-protein ligase synoviolin-like isoform X1 [Glycine max],IPR013083,GO:0005515;GO:0008270
Glyma.01G228700,Gm01,58401854-58403985,chalcone synthase 7 [Glycine max],IPR011141;IPR016039,GO:0003824;GO:0008152;GO:0009058
Glyma.01G228800,Gm01,58409828-58412903,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G228900,Gm01,58414188-58427734,exportin 1A; ,IPR016024,GO:0005488;GO:0006886;GO:0008536
Glyma.01G229000,Gm01,58429039-58432158,ADP-ribosylation factor 1,IPR003579;IPR005225;IPR006689;IPR027417,GO:0005525;GO:0005622;GO:0006886;GO:0007264;GO:0015031
Glyma.01G229132,Gm01,58434773-58437640,Plant protein of unknown function (DUF946);,IPR009291,NA
Glyma.01G229200,Gm01,58439880-58452293,RELA/SPOT homolog 3,IPR003607;IPR007685;IPR012675,GO:0003824;GO:0015969
Glyma.01G229300,Gm01,58454789-58456118,ribonuclease P family protein,NA,NA
Glyma.01G229400,Gm01,58459670-58464870,DEAD-box ATP-dependent RNA helicase-like protein,IPR001650;IPR014001;IPR014014;IPR027417,GO:0003676;GO:0004386;GO:0005524;GO:0008026
Glyma.01G229500,Gm01,58465442-58471091,uncharacterized protein At1g51745-like [Glycine max];,IPR000313,NA
Glyma.01G229600,Gm01,58474901-58477758,WD-repeat cell cycle regulatory protein [Glycine max];,IPR015943,GO:0005515
Glyma.01G229700,Gm01,58481438-58487081,U4/U6 small nuclear ribonucleoprotein Prp3-like isoform X5 [Glycine max]; ,IPR010541;IPR013881;IPR027104,GO:0046540
Glyma.01G229800,Gm01,58487101-58489955,rubredoxin family protein; ,IPR001478;IPR004039,GO:0005506;GO:0005515
Glyma.01G229900,Gm01,58491486-58496283,transferring glycosyl group transferase;,IPR006740,NA
Glyma.01G230000,Gm01,58496589-58498631,Eukaryotic aspartyl protease family protein; ,IPR001461;IPR021109,GO:0004190;GO:0006508
Glyma.01G230100,Gm01,58506219-58507722,Eukaryotic aspartyl protease family protein; ,IPR001461;IPR021109,GO:0004190;GO:0006508
Glyma.01G230200,Gm01,58514482-58519194,"hydrogen peroxide induced protein, putative",NA,NA
Glyma.01G230300,Gm01,58521677-58524129,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,NA,NA
Glyma.01G230400,Gm01,58525237-58528981,protein PLANT CADMIUM RESISTANCE 10-like isoform X2 [Glycine max];,IPR006461,NA
Glyma.01G230500,Gm01,58529015-58531906,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G230600,Gm01,58532175-58535792,Pentatricopeptide repeat (PPR-like) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G230700,Gm01,58537545-58545041,RNA-binding KH domain-containing protein;,IPR004087,GO:0003723
Glyma.01G230800,Gm01,58545512-58548400,protein phosphatase methylesterase 1-like [Glycine max],IPR016812,GO:0006482;GO:0052689
Glyma.01G230900,Gm01,58551971-58556090,cytochrome c-2,IPR002327;IPR009056,GO:0005506;GO:0009055;GO:0020037
Glyma.01G231000,Gm01,58558105-58559008,ethylene-responsive transcription factor 13-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.01G231200,Gm01,58574747-58576209,ethylene-responsive transcription factor 4 [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.01G231300,Gm01,58576218-58578785,Nuclear transport factor 2 (NTF2) family protein;,IPR009959,NA
Glyma.01G231400,Gm01,58578882-58583249,FKBP-like peptidyl-prolyl cis-trans isomerase family protein,IPR001179;IPR023566,GO:0006457
Glyma.01G231500,Gm01,58582596-58588431,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G231600,Gm01,58590064-58598378,alpha/beta hydrolase domain-containing protein 11-like [Glycine max],NA,NA
Glyma.01G231700,Gm01,58599152-58606496,light-mediated development protein DET1,IPR008928;IPR019138,GO:0003824
Glyma.01G231800,Gm01,58607121-58609574,uncharacterized protein LOC100791546 [Glycine max];,IPR006502,NA
Glyma.01G231900,Gm01,58611578-58615013,Rieske (2Fe-2S) domain-containing protein; ,IPR017941;IPR023329,GO:0016491;GO:0055114
Glyma.01G232000,Gm01,58618181-58619646,ethylene-responsive transcription factor 13-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.01G232100,Gm01,58618783-58622245,acyl-CoA synthetase 5; ,IPR000873;IPR025110,GO:0003824;GO:0008152
Glyma.01G232200,Gm01,58624240-58626007,acyl-CoA synthetase 5; ,IPR000873;IPR025110,GO:0003824;GO:0008152
Glyma.01G232300,Gm01,58626958-58630119,RNA-binding (RRM/RBD/RNP motifs) family protein,IPR012677,GO:0000166;GO:0003676
Glyma.01G232400,Gm01,58632621-58637768,4-coumarate:CoA ligase 3; ,IPR000873;IPR025110,GO:0003824;GO:0008152
Glyma.01G232500,Gm01,58641064-58647198,"cellulose synthase-like D3; activity),",IPR005150;IPR013083,GO:0016020;GO:0016760;GO:0030244
Glyma.01G232600,Gm01,58650504-58655329,target of Myb protein 1-like isoform X6 [Glycine max]; ,IPR008942;IPR014645,GO:0005622;GO:0006886
Glyma.01G232750,Gm01,58671509-58674528,golgin subfamily B member 1-like isoform X5 [Glycine max];,IPR011684,NA
Glyma.01G232901,Gm01,58677057-58679538,golgin subfamily B member 1-like isoform X6 [Glycine max],NA,NA
Glyma.01G232951,Gm01,58679561-58683015,DNA-directed RNA polymerase III subunit RPC4 isoform X1 [Glycine max],IPR006886;IPR007811,GO:0003677;GO:0003899;GO:0005634;GO:0005666;GO:0006383
Glyma.01G233000,Gm01,58683813-58687487,heat shock transcription factor A2,IPR011991;IPR027725,GO:0003700;GO:0005634;GO:0009408;GO:0043565
Glyma.01G233100,Gm01,58687889-58692284,Protein kinase superfamily protein; ,IPR011009,GO:0004672;GO:0005524;GO:0006468
Glyma.01G233200,Gm01,58693388-58697813,histone acetyltransferase MCC1-like [Glycine max];,IPR016181,GO:0008080
Glyma.01G233300,Gm01,58698893-58713721,Insulinase (Peptidase family M16) family protein,IPR011249,GO:0003824;GO:0046872
Glyma.01G233400,Gm01,58718685-58720977,MYB transcription factor MYB64 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.01G233500,Gm01,58723907-58727475,"RAP annotation release 2, NERD domain protein;",IPR011528,NA
Glyma.01G233600,Gm01,58728212-58733729,"interactor of constitutive active ROPs 2, chloroplastic-like isoform X6 [Glycine max];",IPR008545,NA
Glyma.01G233700,Gm01,58746247-58750187,nogo-B receptor-like isoform X1 [Glycine max];,IPR001441,NA
Glyma.01G233900,Gm01,58752137-58757055,Pentatricopeptide repeat (PPR-like) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G233950,Gm01,58757056-58757972,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.01G234000,Gm01,58759699-58762807,PLATZ transcription factor family protein;,IPR006734,NA
Glyma.01G234100,Gm01,58765821-58769875,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G234200,Gm01,58785114-58787487,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages",NA,NA
Glyma.01G234300,Gm01,58789955-58799307,uncharacterized protein LOC100784908 isoform X3 [Glycine max],IPR013083,GO:0005515;GO:0008270
Glyma.01G234400,Gm01,58806995-58812617,growth-regulating factor 5; ,IPR014977;IPR014978,GO:0005524;GO:0005634
Glyma.01G234500,Gm01,58817114-58818956,nucleotide-diphospho-sugar transferase superfamily protein,NA,NA
Glyma.01G234600,Gm01,58819989-58830483,uncharacterized protein LOC100799306 isoform X1 [Glycine max],IPR001878;IPR004343,GO:0003676;GO:0003677;GO:0005634;GO:0008270;GO:0016570
Glyma.01G234700,Gm01,58831753-58836516,Polyketide cyclase/dehydrase and lipid transport superfamily protein,IPR002913;IPR023393,GO:0008289
Glyma.01G234800,Gm01,58836972-58838687,Alba DNA/RNA-binding protein;,IPR002775,GO:0003676
Glyma.01G234900,Gm01,58840948-58842264,Lipid transfer protein; ,IPR000528;IPR016140,GO:0006869;GO:0008289
Glyma.01G235000,Gm01,58843192-58844729,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein; ,IPR000528;IPR016140,GO:0006869;GO:0008289
Glyma.01G235100,Gm01,58845684-58846770,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;,IPR016140,NA
Glyma.01G235200,Gm01,58852855-58859894,probable RNA helicase SDE3-like isoform X3 [Glycine max],IPR026127;IPR027417,GO:0009616
Glyma.01G235300,Gm01,58865896-58871389,"type I inositol 1,4,5-trisphosphate 5-phosphatase CVP2-like [Glycine max];",IPR005135,GO:0046856
Glyma.01G235450,Gm01,58878869-58879636,12-oxophytodienoate reductase 2,IPR013785,GO:0003824;GO:0010181;GO:0016491;GO:0055114
Glyma.01G235600,Gm01,58880446-58884658,12-oxophytodienoate reductase 2,IPR013785,GO:0003824;GO:0010181;GO:0016491;GO:0055114
Glyma.01G235700,Gm01,58885856-58892159,"ATP-dependent RNA helicase, mitochondrial, putative",IPR001650;IPR022192;IPR027417,GO:0003676;GO:0004386;GO:0005524
Glyma.01G235800,Gm01,58892272-58894315,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G235900,Gm01,58895243-58897168,RNA-directed DNA methylation protein,IPR015270,GO:0005634;GO:0044030
Glyma.01G236000,Gm01,58897974-58899674,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G236100,Gm01,58900700-58904785,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G236200,Gm01,58910856-58912111,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion,NA,NA
Glyma.01G236300,Gm01,58915965-58921357,Tesmin/TSO1-like CXC domain-containing protein;,IPR005172,NA
Glyma.01G236400,Gm01,58933295-58942365,golgin subfamily B member 1-like isoform X6 [Glycine max];,IPR011684,NA
Glyma.01G236500,Gm01,58943288-58944062,acetyltransferase (GNAT) domain protein;,IPR016181,GO:0008080
Glyma.01G236600,Gm01,58944215-58946807,40S ribosomal protein S3a-1,IPR001593,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.01G236700,Gm01,58951437-58952219,acetyltransferase (GNAT) domain protein;,IPR016181,GO:0008080
Glyma.01G236800,Gm01,58953510-58956333,uncharacterized protein LOC100806050 isoform X1 [Glycine max];,IPR007650,NA
Glyma.01G237000,Gm01,58968964-58970122,uncharacterized protein LOC100810486 [Glycine max];,IPR012876,NA
Glyma.01G237100,Gm01,58971684-58973801,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G237200,Gm01,58974353-58977882,uncharacterized protein LOC100806576 isoform X1 [Glycine max],NA,NA
Glyma.01G237300,Gm01,58981232-58982007,heat shock 22 kDa protein,NA,NA
Glyma.01G237400,Gm01,58983227-58986315,protein OBERON 4-like [Glycine max],NA,NA
Glyma.01G237500,Gm01,58986782-58988153,uncharacterized protein LOC100809860 isoform X2 [Glycine max],NA,NA
Glyma.01G237600,Gm01,58990016-58993703,pre-rRNA-processing protein TSR2 homolog [Glycine max];,IPR019398,NA
Glyma.01G237700,Gm01,58997202-59000393,Unknown protein,NA,NA
Glyma.01G237800,Gm01,59000679-59002252,preprotein translocase subunit SECE1-like [Glycine max],NA,NA
Glyma.01G237900,Gm01,59004560-59008274,cysteine synthase D2;,IPR001926,GO:0006535
Glyma.01G238000,Gm01,59008970-59009837,ferredoxin 3,IPR012675,GO:0009055;GO:0051536
Glyma.01G238100,Gm01,59010246-59010779,uncharacterized protein LOC100804348 isoform X8 [Glycine max],NA,NA
Glyma.01G238200,Gm01,59011924-59020501,RING/FYVE/PHD zinc finger superfamily protein; ,IPR013083;IPR016181,GO:0005515;GO:0008270
Glyma.01G238300,Gm01,59018926-59029587,RING/FYVE/PHD zinc finger superfamily protein; ,IPR013083;IPR016181,GO:0005515;GO:0008270
Glyma.01G238400,Gm01,59032676-59039891,survival protein SurE-like phosphatase/nucleotidase;,IPR002828,GO:0016787
Glyma.01G238500,Gm01,59039995-59040514,hypothetical protein,NA,NA
Glyma.01G238600,Gm01,59043629-59046842,heat shock protein 70;,IPR013126,NA
Glyma.01G238700,Gm01,59050788-59057235,vacuole membrane-like protein;,IPR015414,NA
Glyma.01G238800,Gm01,59066348-59072657,sugar porter (SP) family MFS transporter,IPR005828;IPR016196,GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0022857;GO:0022891;GO:0055085
Glyma.01G238900,Gm01,59073510-59075160,blue copper protein-like [Glycine max],IPR008972,GO:0005507;GO:0009055
Glyma.01G239000,Gm01,59075764-59084076,chloride channel D,IPR001807,GO:0005216;GO:0005247;GO:0006821;GO:0016020;GO:0030554;GO:0055085
Glyma.01G239100,Gm01,59085932-59088311,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;,IPR004864,NA
Glyma.01G239200,Gm01,59092426-59099875,ARM REPEAT PROTEIN INTERACTING WITH ABF2-like isoform X1 [Glycine max]; ,IPR011333;IPR016024,GO:0005488;GO:0005515
Glyma.01G239300,Gm01,59100356-59101562,probable carboxylesterase 12-like [Glycine max],IPR013094,GO:0008152;GO:0016787
Glyma.01G239400,Gm01,59105128-59106435,probable carboxylesterase 13-like [Glycine max],IPR013094,GO:0008152;GO:0016787
Glyma.01G239500,Gm01,59109399-59111060,probable carboxylesterase 13-like [Glycine max],IPR013094,GO:0008152;GO:0016787
Glyma.01G239600,Gm01,59116547-59118903,probable carboxylesterase 13-like [Glycine max],IPR013094,GO:0008152;GO:0016787
Glyma.01G239700,Gm01,59118318-59124485,"Protein phosphatase 2C family protein; -like domain),",IPR001932;IPR008984;IPR015655,GO:0003824;GO:0005515
Glyma.01G239800,Gm01,59130259-59131248,protein FANTASTIC FOUR 3-like [Glycine max];,IPR021410,NA
Glyma.01G239900,Gm01,59141397-59142917,Glycoprotein membrane precursor GPI-anchored,NA,NA
Glyma.01G240000,Gm01,59144081-59146097,ribosomal protein S15A; ,IPR000630,GO:0003735;GO:0005840;GO:0006412
